scenario,metric,seed,value
fixed,wait_p99_difference_s,0,1.2287879522555158
fixed,wait_p99_difference_s,1,0.8094961146716884
fixed,wait_p99_difference_s,2,0.9499789191522154
fixed,completion_ratio,0,0.9163250883392227
fixed,completion_ratio,1,0.9283992627250816
fixed,completion_ratio,2,0.9259049773755657
variable,wait_p99_difference_s,0,1.207231215590582
variable,wait_p99_difference_s,1,0.8707545101828771
variable,wait_p99_difference_s,2,0.9427799521708273
variable,completion_ratio,0,0.8932597463597933
variable,completion_ratio,1,0.8887846081651807
variable,completion_ratio,2,0.8938335897739378
azure-fixed,wait_p99_difference_s,0,0.16919571653440357
azure-fixed,wait_p99_difference_s,1,0.2871668014612112
azure-fixed,wait_p99_difference_s,2,0.2877868427353967
azure-fixed,completion_ratio,0,0.901760889712697
azure-fixed,completion_ratio,1,0.9027126249235162
azure-fixed,completion_ratio,2,0.9051759410801964
azure-mixture,wait_p99_difference_s,0,0.8301815489802351
azure-mixture,wait_p99_difference_s,1,0.8793334764689007
azure-mixture,wait_p99_difference_s,2,0.7473324937264607
azure-mixture,completion_ratio,0,0.8883858267716536
azure-mixture,completion_ratio,1,0.8888673201980006
azure-mixture,completion_ratio,2,0.8921922214640803
azure-decode240,wait_p99_difference_s,0,0.8208867619922557
azure-decode240,wait_p99_difference_s,1,0.8190167903646284
azure-decode240,wait_p99_difference_s,2,0.8085305527475164
azure-decode240,completion_ratio,0,0.9629885374948212
azure-decode240,completion_ratio,1,0.9716480446927375
azure-decode240,completion_ratio,2,0.9691907435300562
azure-dt025,wait_p99_difference_s,0,0.8975623380361508
azure-dt025,wait_p99_difference_s,1,0.717315231286026
azure-dt025,wait_p99_difference_s,2,0.8503431162411488
azure-dt025,completion_ratio,0,0.8860722035904518
azure-dt025,completion_ratio,1,0.8879184861717613
azure-dt025,completion_ratio,2,0.8996583699365545
immediate,wait_p99_difference_s,0,3.56844160817748
immediate,wait_p99_difference_s,1,2.6199839018499063
immediate,wait_p99_difference_s,2,2.1689488106764117
immediate,completion_ratio,0,0.8238658394726638
immediate,completion_ratio,1,0.8271245634458673
immediate,completion_ratio,2,0.8313393638751094
